Portfolio,Overall Profit (%),Last 1 Year Profit (%),Last 60 Days Profit (%),Sharpe Ratio,Sortino Ratio,Max Drawdown
"TI, TRENT, PRECWIRE, INDIAGLYCO, BSE",4063.8899912243664,644.8567354275478,62.390145891919445,0.633936371931841,5.732320196448473,-0.5914063522422053
"TI, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",3908.208740833451,473.6741325480504,58.336834869134016,0.6176948434286587,5.456133136584629,-0.6756649573126277
"TI, TRENT, INDIAGLYCO, PERSISTENT, BSE",3827.242169178488,599.6086162986664,63.05407328408725,0.6380716590583526,5.8940335237940245,-0.5761937144890794
"TI, TRENT, PRECWIRE, PERSISTENT, BSE",3741.203148516268,633.0268710880858,51.60149845918971,0.6382069803302414,6.965339799449989,-0.6677315366779907
"TI, ARVIND, INDIAGLYCO, PERSISTENT, BSE",3682.4754599160265,481.1288967206991,55.20197420252045,0.6211491820559314,5.169885826230907,-0.720613621095469
"TI, TRENT, PERSISTENT, BSE, COFORGE",3517.1001972488375,670.6650397820135,58.361767225545805,0.6303519784587583,6.674182463599693,-0.5803547701826668
"TI, PRECWIRE, PERSISTENT, BSE, COFORGE",3486.149080190804,515.5266916441853,57.24621218670332,0.6215220973451991,5.377121884023515,-0.695544298555522
"TI, TRENT, PERSISTENT, BSE, BAJFINANCE",3458.3692659329017,319.44883107359476,40.313639514581226,0.6355816103174725,6.009508600486584,-0.5881255639153989
"TI, PRECWIRE, PERSISTENT, BSE, BAJFINANCE",3404.8601323730686,266.0633185874259,41.15588326366628,0.6187512946103787,5.364243313355271,-0.6329655880004584
"TI, TRENT, PRECWIRE, BSE, BAJFINANCE",3319.309118649656,252.21421210604632,40.98830156128705,0.6612222293595971,5.697360313496854,-0.47425302519889867
"TI, TRENT, PRECWIRE, BSE, COFORGE",3267.758704061977,531.0751813809436,59.42368163560554,0.6476044867846644,6.120603033857771,-0.5500268259534786
"TI, ARVIND, PRECWIRE, PERSISTENT, BSE",3263.21524923453,507.46083967887625,46.24170039896585,0.6179161156597583,5.584975261086196,-0.7400729695980618
"TI, INDIAGLYCO, PERSISTENT, BSE, COFORGE",3262.639607035702,502.96200601886534,64.71164650435117,0.6152804202787905,5.381216884838725,-0.652324722200164
"TI, TRENT, PERSISTENT, BSE, ABCAPITAL",3200.4885253143875,285.6389027598652,28.99417534884401,0.645670646400144,6.057669881874837,-0.5839919248658988
"TI, PERSISTENT, BSE, UNIONBANK, ABCAPITAL",3199.0314586623667,270.67888262369723,26.763666421784627,0.6316329092033575,5.273110168174084,-0.7033886459639066
"TI, TRENT, BSE, UNIONBANK, ABCAPITAL",3082.0216487980824,332.3032901513625,25.571944990986072,0.6302763394170254,5.166423907955834,-0.5887817957388611
"TI, PRECWIRE, INDIAGLYCO, BSE, COFORGE",3052.407206791736,473.54072796928017,65.4157296760116,0.6226140210139632,4.701496779251247,-0.6435362131789647
"TI, TRENT, BSE, CANBK, ABCAPITAL",3013.15404794443,296.0352761782078,23.522543070506096,0.6401432520745506,5.429534556636142,-0.5857406090883523
"TI, TRENT, INDIAGLYCO, BSE, COFORGE",3008.9927541274233,619.7885422494211,71.1714226439822,0.6219816510075314,5.610046382591641,-0.5562790268691776
"TI, PERSISTENT, BSE, CANBK, ABCAPITAL",2996.6814920582233,244.69265277530045,25.069336058533164,0.6229768433868732,5.332398605033668,-0.6919500114638306
"TI, PERSISTENT, BSE, ABCAPITAL, BAJFINANCE",2916.989808524786,148.2325868078299,33.717498811977784,0.6128389932239469,4.997667805892229,-0.6383942654647855
"TI, TRENT, PRECWIRE, INDIAGLYCO, PERSISTENT",2901.6945745773232,317.972761782289,59.60158365626249,0.6489064193146521,4.841992318452234,-0.5869383724562656
"TI, INDIAGLYCO, PERSISTENT, BSE, BAJFINANCE",2845.048369680196,249.28782343244333,41.874536216039495,0.6059033855931087,5.198432543100165,-0.6132627997441358
"TI, ARVIND, PRECWIRE, INDIAGLYCO, PERSISTENT",2790.646752505209,243.61535833005715,55.71972686828697,0.6182819410318033,4.313681922819414,-0.7011886713031446
"TI, INDIAGLYCO, PERSISTENT, BSE, ABCAPITAL",2747.9163067153117,231.74718458538516,30.733094474685217,0.6090131345127096,4.817351508927317,-0.6867415977242506
"TI, ARVIND, TRENT, PRECWIRE, BSE",2710.8973511892937,627.2281527228836,43.86395613721143,0.6086702256925544,5.659477589267973,-0.7212128481575925
"TI, ARVIND, PRECWIRE, INDIAGLYCO, BSE",2687.093225069157,506.3078020686289,55.451659017118395,0.6060764716529327,3.993532843885189,-0.8274283605510743
"TI, ARVIND, PRECWIRE, BSE, COFORGE",2667.1591841255918,488.01305086300755,54.59691424653468,0.6226393801903131,4.514320265813786,-0.7191225472874945
"TI, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",2666.2737690916947,457.687772620264,38.23324871327478,0.6787123342919911,7.750982015991702,-0.7095990252121337
"TI, INDIAGLYCO, PERSISTENT, BSE, UNIONBANK",2658.2358053491294,348.6488941794054,40.43446345648616,0.6085618739819716,4.9833459249434755,-0.6958422219286363
"TI, PERSISTENT, BSE, ANGELONE, ABCAPITAL",2630.5384377736173,287.6824042076238,26.27088705989049,0.6954799640758971,8.529860419288525,-0.5671326943596844
"TI, PERSISTENT, BSE, COFORGE, BAJFINANCE",2599.6378724662522,256.9106329968269,42.345663175862654,0.609045918327002,5.175796065698262,-0.6302397182475626
"TI, PERSISTENT, BSE, BANKBARODA, ABCAPITAL",2584.692944293642,210.05010894004025,9.590844725006441,0.6108828054015003,5.045917288901437,-0.7050551068360488
"TI, TRENT, BSE, BANKBARODA, ABCAPITAL",2560.8329463167875,259.49397033387805,8.643884967632754,0.6286662407761614,5.010194533838917,-0.5720156410012087
"TI, PRECWIRE, PERSISTENT, BSE, ABCAPITAL",2545.0564780251784,260.71937642412405,30.241412580874204,0.5983480425628048,5.073622425772963,-0.6966878115606706
"TI, TRENT, PRECWIRE, PERSISTENT, BAJFINANCE",2541.2183630078566,153.9130827273593,40.79550235102391,0.6138467846388607,5.17615187988707,-0.6109496698011398
"TI, ARVIND, TRENT, PRECWIRE, PERSISTENT",2530.3321219860377,339.1367921800753,47.9825258497931,0.6365174217403207,5.260229369832036,-0.6087677767207951
"TI, INDIAGLYCO, PERSISTENT, BSE, CANBK",2528.921975701203,288.243016083634,29.973781700354497,0.6057473992441353,5.006730311251355,-0.6871168646553252
"TI, PERSISTENT, BSE, UNIONBANK, BAJFINANCE",2505.9183758782647,241.40542762707983,37.740104193970645,0.6070842032046487,4.521680576336409,-0.6738694036366467
"TRENT, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",2479.4019935539554,487.54417182469274,53.01900184394324,0.6087213636774821,5.137205493765726,-0.6607055044881074
"TI, PERSISTENT, BSE, CANBK, BAJFINANCE",2455.7337638373783,206.47846754029266,35.69052941419682,0.5979072808789448,4.997307258596819,-0.6330341219861861
"TI, TRENT, PRECWIRE, BSE, ABCAPITAL",2429.792104752175,323.5133445833419,29.693448991907935,0.6142004593628534,5.3408065977430725,-0.5565871961550941
"TRENT, PRECWIRE, PERSISTENT, BSE, BAJFINANCE",2421.5431183273445,248.54164969209606,38.97684308197822,0.606246733886908,5.684643265100801,-0.6414195035313109
"ARVIND, PRECWIRE, PERSISTENT, BSE, ANGELONE",2414.3114369485324,412.83445525553236,22.401093048585352,0.6693685170749489,9.001991996094668,-0.6771895695335398
"TI, TRENT, PERSISTENT, UNIONBANK, ABCAPITAL",2405.9744322075444,147.60956329162798,26.426659701984146,0.6384912204937582,5.208457194682534,-0.6074729078530812
"TI, TRENT, PERSISTENT, BSE, HCG",2388.874531598592,531.0857288309337,68.4465676064502,0.6154473004446298,5.510323087705489,-0.6291836961019253
"TI, TRENT, INDIAGLYCO, BSE, CANBK",2386.64652933515,363.02965151509994,27.52260207683026,0.6080194654018406,5.072746603658353,-0.5884670021755304
"TI, TRENT, PRECWIRE, PERSISTENT, ABCAPITAL",2383.939326627853,158.0497087358731,29.743055682921526,0.6196574540806095,5.349078152720968,-0.5987904673331
"TI, ARVIND, PERSISTENT, BSE, ABCAPITAL",2374.9902224829175,243.99378404928137,28.18306749907662,0.6045304540608626,4.8509031330891155,-0.7092667190078321
"TI, PERSISTENT, BSE, BHARTIARTL, BAJFINANCE",2374.3999930138284,216.3620927919236,40.489651066853824,0.6282888494733493,6.175851242871308,-0.5031171971105838
"TI, ARVIND, TRENT, PERSISTENT, BSE",2364.309063594635,593.4387618647917,41.31003377313147,0.6082847068406533,5.551372177363553,-0.6873311438594777
"TI, ARVIND, TRENT, INDIAGLYCO, BSE",2356.662057086918,632.3874021876368,55.9393326109237,0.5922356398086158,4.421231291218362,-0.7074579551218195
"TRENT, PERSISTENT, BSE, ANGELONE, ABCAPITAL",2351.0851569131155,324.12518000869505,22.293006466926446,0.7068254758129882,8.182107045286772,-0.5508851160526751
"ARVIND, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",2321.7961663029346,410.95497865216277,47.010663182069365,0.5877618272000669,4.148100766819187,-0.8302188179016305
